description,category
sweet shop mithai,Food
Health checkup package,Health
vaccination,Health
house tax payment,Bills
Health insurance premium,Health
flipkart purchase,Shopping
insurance premium,Bills
Yoga class,Health
Grocery online order #1355,Food
repair service,Other
Domino's pizza order,Food
Society maintenance #5063,Bills
salon haircut,Other
gas pipeline bill,Bills
Milk and eggs,Food
Paratha breakfast,Food
subway sandwich,Food
Bank charges,Other
Dmart groceries,Food
Stationery shopping #3041,Shopping
Zara shirt,Shopping
Pet supplies,Other
juice shop,Food
Rent payment,Bills
Petrol pump fuel #5292,Transport
Cleaning service,Other
water park entry,Entertainment
Amusement park,Entertainment
netflix subscription,Entertainment
Swiggy order,Food
blood test,Health
Domino's pizza order #6202,Food
Health supplements #4387,Health
donation,Other
Yoga class #5443,Health
Parking fee,Transport
Netflix subscription #7640,Entertainment
Flipkart purchase #6329,Shopping
Electrician charges,Other
Local restaurant dinner,Food
Hotstar subscription #1754,Entertainment
H&M shopping #1748,Shopping
Tea stall,Food
jewellery store,Shopping
Biryani order,Food
Amusement park #2123,Entertainment
Courier charges,Other
grocery online order,Food
Railway platform ticket #2862,Transport
Dhaba food,Food
Blood test,Health
music concert,Entertainment
health checkup package,Health
Salon haircut #5271,Other
Spotify premium #8425,Entertainment
Credit card bill #7149,Bills
cake order birthday,Food
Ola cab booking #8411,Transport
Late fee payment,Other
Train ticket IRCTC #4647,Transport
photocopy printout,Other
gas cylinder booking,Bills
Fruits vendor,Food
Flight ticket booking #5815,Transport
Gift shopping,Shopping
spotify premium,Entertainment
amusement park,Entertainment
Momos stall #7216,Food
Sweet shop mithai,Food
Perfume purchase #4728,Shopping
bookmyshow booking,Entertainment
fruits vendor,Food
headphones purchase,Shopping
vehicle insurance renewal,Transport
railway platform ticket,Transport
myntra clothes,Shopping
WiFi bill Airtel,Bills
cleaning service,Other
bowling alley,Entertainment
Grocery online order,Food
atm withdrawal,Other
Starbucks coffee,Food
Railway platform ticket,Transport
Photocopy printout #3591,Other
local restaurant dinner,Food
BookMyShow booking #4410,Entertainment
Concert tickets #6419,Entertainment
Subway sandwich #9845,Food
video game console,Entertainment
watch online order,Shopping
Salon haircut,Other
Bag purchase,Shopping
Toy store purchase,Shopping
X-ray scan,Health
grocery shopping bigbasket,Food
Optician glasses #9609,Health
Diesel refill,Transport
Home appliance purchase,Shopping
Electrician charges #3137,Other
Ice cream parlour,Food
Doctor consultation,Health
medical store,Health
Cab to airport #5618,Transport
tailoring service,Other
Headphones purchase #5708,Shopping
Home decor items,Shopping
bank transfer fee,Other
cafe breakfast,Food
ATM withdrawal #1049,Other
bakery items,Food
Car service,Transport
health insurance premium,Health
Bike repair #3381,Transport
ATM withdrawal,Other
Plumber service #6270,Other
Chinese food takeout,Food
Myntra clothes #3602,Shopping
Loan EMI payment #9679,Bills
Protein powder purchase,Health
Grocery shopping BigBasket,Food
